job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
765931,uqOcl,vchbv,,8,40,COMPLETED,13269471,50553,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,13269480.0,13320034.0,0,9.0,50563.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",404424,0,0,0,0,1,1,,0,0
766728,uqOcl,vchbv,,8,40,COMPLETED,13300966,48153,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,13300980.0,13349134.0,0,14.0,48168.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",385224,0,0,0,0,1,1,,0,0
766731,uqOcl,vchbv,,8,40,COMPLETED,13301172,47879,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13301220.0,13349100.0,0,48.0,47928.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",383032,0,0,0,0,1,1,,0,0
766734,uqOcl,vchbv,,8,40,COMPLETED,13301377,48952,ImageNet,MobileNetV3,128,1,3482.526,86.121,33.939,3216.0,0,13301400.0,13350353.0,0,23.0,48976.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",391616,0,0,0,0,1,1,,0,0
767192,uqOcl,vchbv,,8,40,CANCELLED,13355272,11,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,13355280.0,13355292.0,0,8.0,20.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",88,0,0,0,0,1,1,,0,0
767193,uqOcl,vchbv,,8,40,COMPLETED,13355323,48217,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13355340.0,13403558.0,0,17.0,48235.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",385736,0,0,0,0,1,1,,0,0
767194,uqOcl,vchbv,,8,40,COMPLETED,13355385,47999,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13355400.0,13403400.0,0,15.0,48015.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",383992,0,0,0,0,1,1,,0,0
767210,uqOcl,vchbv,,8,40,COMPLETED,13355889,48023,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,13355940.0,13403964.0,0,51.0,48075.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",384184,0,0,0,0,1,1,,0,0
768756,uqOcl,vchbv,,8,40,CANCELLED,13439077,19,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,13439100.0,13439120.0,0,23.0,43.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",152,0,0,0,0,1,1,,0,0
768758,uqOcl,vchbv,,8,40,CANCELLED,13439104,14609,Wikitext2,LSTM,64,0,4496.071,97.0,74.875,3884.0,0,13439160.0,13453770.0,0,56.0,14666.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",116872,0,0,0,0,1,1,,0,0
768846,uJ7Fv,vchbv,,8,1,COMPLETED,13443122,414,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,13443180.0,13443595.0,0,58.0,473.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",3312,0,0,0,0,1,1,,0,0
768864,uJ7Fv,vchbv,,1,1,COMPLETED,13443698,219,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,13443720.0,13443940.0,0,22.0,242.0,end,[{1: [0]}],219,0,0,0,0,1,1,,0,0
768985,uqOcl,vchbv,,8,40,CANCELLED,13446992,6211,BipedalWalker,TD3,128,0,67.445,14.089,0.0,2059.0,0,13447020.0,13453232.0,0,28.0,6240.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",49688,0,0,0,0,1,1,,0,0
768991,uqOcl,vchbv,,8,40,CANCELLED,13447037,6174,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13447080.0,13453255.0,0,43.0,6218.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",49392,0,0,0,0,1,1,,0,0
769252,uqOcl,vchbv,,8,40,CANCELLED,13453328,391,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,13453380.0,13453772.0,0,52.0,444.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",3128,0,0,0,0,1,1,,0,0
769253,uqOcl,vchbv,,8,40,CANCELLED,13453350,370,BipedalWalker,TD3,128,0,67.445,14.089,0.0,2059.0,0,13453380.0,13453751.0,0,30.0,401.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",2960,0,0,0,0,1,1,,0,0
769265,uqOcl,vchbv,,8,40,CANCELLED,13453815,11982,Multi30k,Transformer,64,0,857.9,75.164,31.806,11801.104,0,13453860.0,13465843.0,0,45.0,12028.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",95856,0,0,0,0,1,1,,0,0
769268,uqOcl,vchbv,,8,40,CANCELLED,13453911,11888,Multi30k,Transformer,32,0,464.423,53.645,17.258,11949.258,0,13453920.0,13465809.0,0,9.0,11898.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",95104,0,0,0,0,1,1,,0,0
769270,uqOcl,vchbv,,8,40,CANCELLED,13453935,11869,Wikitext2,LSTM,64,0,4496.071,97.0,74.875,3884.0,0,13453980.0,13465850.0,0,45.0,11915.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",94952,0,0,0,0,1,1,,0,0
769314,uqOcl,vchbv,,8,40,CANCELLED,13455165,9,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13455180.0,13455190.0,0,15.0,25.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",72,0,0,0,0,1,1,,0,0
769320,uqOcl,vchbv,,8,40,CANCELLED,13455344,5,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,13455360.0,13455366.0,0,16.0,22.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",40,0,0,0,0,1,1,,0,0
769530,uqOcl,vchbv,,8,40,COMPLETED,13465835,48592,ImageNet,MobileNetV3,64,1,1908.093,52.355,18.065,2706.0,0,13465860.0,13514453.0,0,25.0,48618.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",388736,0,0,0,0,1,1,,0,0
769531,uqOcl,vchbv,,8,40,COMPLETED,13465838,48416,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,13465860.0,13514377.0,1,82.0,48539.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",387648,0,0,0,0,1,1,,0,0
769532,uqOcl,vchbv,,8,40,COMPLETED,13465840,48275,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13465860.0,13516456.0,1,2300.0,50616.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",386520,0,0,0,0,1,1,,0,0
769533,uqOcl,vchbv,,8,40,COMPLETED,13465874,47978,ImageNet,ResNet50,32,1,670.679,95.864,67.568,3838.0,0,13465920.0,13516159.0,1,2266.0,50285.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",384144,0,0,0,0,1,1,,0,0
769534,uqOcl,vchbv,,8,40,COMPLETED,13465876,48068,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,13468140.0,13560229.0,1,46244.0,94353.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",384864,0,0,0,0,1,1,,0,0
769535,uqOcl,vchbv,,8,40,COMPLETED,13465877,47926,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,13468140.0,13560147.0,1,46303.0,94270.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",383728,0,0,0,0,1,1,,0,0
770338,uJ7Fv,vchbv,,8,1,FAILED,13536684,56,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,13536720.0,13536777.0,0,36.0,93.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",448,0,0,0,0,1,1,,0,0
770685,uqOcl,vchbv,,8,40,COMPLETED,13556992,95865,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13557000.0,13652866.0,0,8.0,95874.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",766920,0,0,0,0,1,1,,0,0
770707,uJ7Fv,vchbv,,8,1,COMPLETED,13562424,415,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,13562460.0,13562876.0,0,36.0,452.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",3320,0,0,0,0,1,1,,0,0
770710,uqOcl,vchbv,,8,40,COMPLETED,13562724,95413,ImageNet,ResNet50,128,0,465.651,100.0,86.927,13326.0,0,13562760.0,13658174.0,0,36.0,95450.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",763304,0,0,0,0,1,1,,0,0
770711,uqOcl,vchbv,,8,40,COMPLETED,13562754,96081,ImageNet,MobileNetV3,64,1,1908.093,52.355,18.065,2706.0,0,13562760.0,13659842.0,1,966.0,97088.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",768968,0,0,0,0,1,1,,0,0
770715,uJ7Fv,vchbv,,1,1,COMPLETED,13563058,11,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,13563060.0,13563072.0,0,2.0,14.0,end,[{0: [0]}],11,0,0,0,0,1,1,,0,0
770779,uJ7Fv,vchbv,,8,1,COMPLETED,13590903,429,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,13590960.0,13591390.0,0,57.0,487.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",3432,0,0,0,0,1,1,,0,0
771144,uqOcl,vchbv,,8,40,COMPLETED,13656857,60463,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,13656900.0,13717364.0,0,43.0,60507.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",483704,0,0,0,0,1,1,,0,0
771150,uqOcl,vchbv,,8,40,COMPLETED,13657103,60101,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13657140.0,13717242.0,0,37.0,60139.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",480808,0,0,0,0,1,1,,0,0
771153,uqOcl,vchbv,,8,40,COMPLETED,13657241,60528,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,13657260.0,13717789.0,0,19.0,60548.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",484224,0,0,0,0,1,1,,0,0
771437,uJ7Fv,vchbv,,8,1,COMPLETED,13718419,414,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13718460.0,13718875.0,0,41.0,456.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",3312,0,0,0,0,1,1,,0,0
771443,uJ7Fv,vchbv,,1,1,COMPLETED,13719160,219,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,13719180.0,13719400.0,0,20.0,240.0,end,[{0: [0]}],219,0,0,0,0,1,1,,0,0
771502,uqOcl,vchbv,,8,40,COMPLETED,13729711,120600,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13729740.0,13850341.0,0,29.0,120630.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",964800,0,0,0,0,1,1,,0,0
771504,uqOcl,vchbv,,8,40,COMPLETED,13729824,120401,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,13729860.0,13850262.0,0,36.0,120438.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",963208,0,0,0,0,1,1,,0,0
771505,uqOcl,vchbv,,8,40,COMPLETED,13729898,120982,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,13729920.0,13850903.0,0,22.0,121005.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",967856,0,0,0,0,1,1,,0,0
772281,uJ7Fv,vchbv,,8,1,COMPLETED,13792926,607,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,13792980.0,13793588.0,0,54.0,662.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",4856,0,0,0,0,1,1,,0,0
772297,uJ7Fv,vchbv,,1,1,COMPLETED,13793881,318,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,13793940.0,13794259.0,0,59.0,378.0,end,[{3: [0]}],318,0,0,0,0,1,1,,0,0
773722,uqOcl,vchbv,,8,40,COMPLETED,13877135,121181,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,13877160.0,13998342.0,0,25.0,121207.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",969448,0,0,0,0,1,1,,0,0
773725,uqOcl,vchbv,,8,40,COMPLETED,13877261,120674,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,13877280.0,13997955.0,0,19.0,120694.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",965392,0,0,0,0,1,1,,0,0
773726,uqOcl,vchbv,,8,40,COMPLETED,13877291,121842,ImageNet,MobileNetV3,128,1,3482.526,86.121,33.939,3216.0,0,13877340.0,14001383.0,1,2209.0,124092.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",975056,0,0,0,0,1,1,,0,0
773729,uqOcl,vchbv,,8,40,COMPLETED,13877387,120454,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,13877400.0,14000295.0,1,2413.0,122908.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",963952,0,0,0,0,1,1,,0,0
783711,uqOcl,vchbv,,8,40,COMPLETED,13991394,138339,ImageNet,MobileNetV3,128,1,3482.526,86.121,33.939,3216.0,0,13991400.0,14134100.0,1,4326.0,142706.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",1107032,0,0,0,0,1,1,,0,0
783713,uqOcl,vchbv,,8,40,COMPLETED,13991463,139295,ImageNet,MobileNetV3,128,1,3482.526,86.121,33.939,3216.0,0,13991520.0,14135416.0,1,4617.0,143953.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",1114680,0,0,0,0,1,1,,0,0
784519,uqOcl,vchbv,,8,40,FAILED,14049720,131243,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,14049720.0,14182744.0,1,1740.0,133024.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",1050264,0,0,0,0,1,1,,0,0
784523,uqOcl,vchbv,,8,40,FAILED,14049761,24,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,14049780.0,14049805.0,0,19.0,44.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",192,0,0,0,0,1,1,,0,0
784525,uqOcl,vchbv,,8,40,FAILED,14049805,131090,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,14049840.0,14183191.0,1,2255.0,133386.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",1049040,0,0,0,0,1,1,,0,0
785559,uqOcl,vchbv,,8,40,FAILED,14139512,36883,ImageNet,ResNet50,128,1,765.473,99.66,75.566,7992.0,0,14139540.0,14176944.0,1,508.0,37432.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",295384,0,0,0,0,1,1,,0,0
785572,uqOcl,vchbv,,8,40,FAILED,14139901,37880,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,14139960.0,14178461.0,2,599.0,38560.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",303680,0,0,0,0,1,1,,0,0
785575,uqOcl,vchbv,,8,40,FAILED,14139996,4189,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,14140020.0,14178930.0,1,34704.0,38934.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",33832,0,0,0,0,1,1,,0,0
785578,uqOcl,vchbv,,8,40,FAILED,14140026,4728,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,14140080.0,14180969.0,1,36174.0,40943.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",38144,0,0,0,0,1,1,,0,0
785837,uJ7Fv,vchbv,,8,1,COMPLETED,14157479,417,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,14157480.0,14157898.0,0,1.0,419.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",3336,0,0,0,0,1,1,,0,0
785973,uJ7Fv,vchbv,,8,1,COMPLETED,14195551,422,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,14195580.0,14196003.0,0,29.0,452.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",3376,0,0,0,0,1,1,,0,0
785976,uJ7Fv,vchbv,,1,1,COMPLETED,14196159,221,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,14196180.0,14196402.0,0,21.0,243.0,end,[{0: [0]}],221,0,0,0,0,1,1,,0,0
785978,uJ7Fv,vchbv,,8,1,COMPLETED,14197202,614,CIFAR-10,EfficientNet,64,1,1371.123,25.5,3.167,2290.0,0,14197260.0,14197875.0,0,58.0,673.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",4912,0,0,0,0,1,1,,0,0
785980,uJ7Fv,vchbv,,1,1,COMPLETED,14198171,327,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,14198220.0,14198548.0,0,49.0,377.0,end,[{0: [0]}],327,0,0,0,0,1,1,,0,0
786049,uqOcl,vchbv,,8,40,COMPLETED,14216369,14495,LSUN,DCGAN,128,0,4659.802,94.0,41.0,3096.0,0,14216400.0,14230896.0,0,31.0,14527.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",115960,0,0,0,0,1,1,,0,0
786050,uqOcl,vchbv,,8,40,COMPLETED,14216426,14306,Wikitext2,LSTM,64,1,4495.889,73.625,60.0,3750.0,0,14216460.0,14230767.0,0,34.0,14341.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",114448,0,0,0,0,1,1,,0,0
786053,uqOcl,vchbv,,8,40,COMPLETED,14216691,62513,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,14216700.0,14281294.0,1,2049.0,64603.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",500424,0,0,0,0,1,1,,0,0
786054,uqOcl,vchbv,,8,40,COMPLETED,14216790,86862,ImageNet,ResNet50,128,0,465.651,100.0,86.927,13326.0,0,14216820.0,14308563.0,2,4830.0,91773.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",695536,0,0,0,0,1,1,,0,0
786068,uqOcl,vchbv,,8,40,COMPLETED,14219204,31129,Multi30k,Transformer,32,0,464.423,53.645,17.258,11949.258,0,14219220.0,14259690.0,1,9316.0,40486.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",249352,0,0,0,0,1,1,,0,0
786070,uqOcl,vchbv,,8,40,COMPLETED,14219414,30971,LSUN,DCGAN,32,0,1986.707,57.778,20.222,2458.0,0,14219460.0,14259652.0,1,9226.0,40238.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",248088,0,0,0,0,1,1,,0,0
786130,uqOcl,vchbv,,8,40,COMPLETED,14228216,36036,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,14228220.0,14293457.0,1,29164.0,65241.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",288608,0,0,0,0,1,1,,0,0
786474,uqOcl,vchbv,,8,40,COMPLETED,14262128,31064,Wikitext2,LSTM,128,1,4440.872,63.706,55.824,5320.0,0,14262180.0,14293245.0,0,52.0,31117.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",248512,0,0,0,0,1,1,,0,0
